Encryption disabled
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=ED448 | SERIALIZE: 0.00070 s | CRYPTO: 0.00000 s | AUTH: 0.78938 s | TOTAL: 0.79007 s | IMPACT: 0.00% | AUTH_IMPACT: 99.91%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=ED448 | SERIALIZE: 0.00073 s | CRYPTO: 0.00000 s | AUTH: 0.78120 s | TOTAL: 0.78193 s | IMPACT: 0.00% | AUTH_IMPACT: 99.91%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=ED448 | SERIALIZE: 0.00070 s | CRYPTO: 0.00000 s | AUTH: 0.75973 s | TOTAL: 0.76043 s | IMPACT: 0.00% | AUTH_IMPACT: 99.91%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=ED448 | SERIALIZE: 0.00071 s | CRYPTO: 0.00000 s | AUTH: 0.75062 s | TOTAL: 0.75134 s | IMPACT: 0.00% | AUTH_IMPACT: 99.91%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=ED448 | DESERIALIZE: 0.00185 s | CRYPTO: 0.00000 s | AUTH: 0.47781 s | TOTAL: 0.47966 s | IMPACT: 0.00% | AUTH_IMPACT: 99.61%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=ED448 | DESERIALIZE: 0.00096 s | CRYPTO: 0.00000 s | AUTH: 0.42774 s | TOTAL: 0.42870 s | IMPACT: 0.00% | AUTH_IMPACT: 99.78%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=ED448 | DESERIALIZE: 0.00087 s | CRYPTO: 0.00000 s | AUTH: 0.36850 s | TOTAL: 0.36936 s | IMPACT: 0.00% | AUTH_IMPACT: 99.77%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=ED448 | DESERIALIZE: 0.00166 s | CRYPTO: 0.00000 s | AUTH: 0.36832 s | TOTAL: 0.36998 s | IMPACT: 0.00% | AUTH_IMPACT: 99.55%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=ED448 | DESERIALIZE: 0.00144 s | CRYPTO: 0.00000 s | AUTH: 0.36145 s | TOTAL: 0.36290 s | IMPACT: 0.00% | AUTH_IMPACT: 99.60%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=ED448 | DESERIALIZE: 0.00087 s | CRYPTO: 0.00000 s | AUTH: 0.35584 s | TOTAL: 0.35670 s | IMPACT: 0.00% | AUTH_IMPACT: 99.76%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=ED448 | DESERIALIZE: 0.00156 s | CRYPTO: 0.00000 s | AUTH: 0.34455 s | TOTAL: 0.34611 s | IMPACT: 0.00% | AUTH_IMPACT: 99.55%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=ED448 | DESERIALIZE: 0.00085 s | CRYPTO: 0.00000 s | AUTH: 0.37788 s | TOTAL: 0.37873 s | IMPACT: 0.00% | AUTH_IMPACT: 99.77%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=ED448 | DESERIALIZE: 0.00157 s | CRYPTO: 0.00000 s | AUTH: 0.36359 s | TOTAL: 0.36516 s | IMPACT: 0.00% | AUTH_IMPACT: 99.57%
