Encryption disabled
CRYPTO STATUS: enabled=False method=None | auth_enabled=False auth_method=None | DESERIALIZE: 0.00083 s | CRYPTO: 0.23255 s | AUTH: 0.00000 s | TOTAL: 0.23337 s | IMPACT: 99.65% | AUTH_IMPACT: 0.00%
CRYPTO STATUS: enabled=False method=None | auth_enabled=False auth_method=None | DESERIALIZE: 0.00078 s | CRYPTO: 0.22854 s | AUTH: 0.00000 s | TOTAL: 0.22932 s | IMPACT: 99.66% | AUTH_IMPACT: 0.00%
CRYPTO STATUS: enabled=False method=None | auth_enabled=False auth_method=None | SERIALIZE: 0.00078 s | CRYPTO: 0.27508 s | AUTH: 0.00000 s | TOTAL: 0.27586 s | IMPACT: 99.72% | AUTH_IMPACT: 0.00%
CRYPTO STATUS: enabled=False method=None | auth_enabled=False auth_method=None | SERIALIZE: 0.00070 s | CRYPTO: 0.24814 s | AUTH: 0.00000 s | TOTAL: 0.24885 s | IMPACT: 99.72% | AUTH_IMPACT: 0.00%
CRYPTO STATUS: enabled=False method=None | auth_enabled=False auth_method=None | SERIALIZE: 0.00068 s | CRYPTO: 0.25978 s | AUTH: 0.00000 s | TOTAL: 0.26046 s | IMPACT: 99.74% | AUTH_IMPACT: 0.00%
CRYPTO STATUS: enabled=False method=None | auth_enabled=False auth_method=None | SERIALIZE: 0.00070 s | CRYPTO: 0.24025 s | AUTH: 0.00000 s | TOTAL: 0.24095 s | IMPACT: 99.71% | AUTH_IMPACT: 0.00%
CRYPTO STATUS: enabled=False method=None | auth_enabled=False auth_method=None | SERIALIZE: 0.00070 s | CRYPTO: 0.27287 s | AUTH: 0.00000 s | TOTAL: 0.27356 s | IMPACT: 99.75% | AUTH_IMPACT: 0.00%
CRYPTO STATUS: enabled=False method=None | auth_enabled=False auth_method=None | SERIALIZE: 0.00074 s | CRYPTO: 0.24363 s | AUTH: 0.00000 s | TOTAL: 0.24437 s | IMPACT: 99.70% | AUTH_IMPACT: 0.00%
CRYPTO STATUS: enabled=False method=None | auth_enabled=False auth_method=None | DESERIALIZE: 0.00102 s | CRYPTO: 0.39238 s | AUTH: 0.00000 s | TOTAL: 0.39340 s | IMPACT: 99.74% | AUTH_IMPACT: 0.00%
CRYPTO STATUS: enabled=False method=None | auth_enabled=False auth_method=None | DESERIALIZE: 0.00104 s | CRYPTO: 0.35215 s | AUTH: 0.00000 s | TOTAL: 0.35319 s | IMPACT: 99.71% | AUTH_IMPACT: 0.00%
CRYPTO STATUS: enabled=False method=None | auth_enabled=False auth_method=None | DESERIALIZE: 0.00085 s | CRYPTO: 0.23441 s | AUTH: 0.00000 s | TOTAL: 0.23525 s | IMPACT: 99.64% | AUTH_IMPACT: 0.00%
CRYPTO STATUS: enabled=False method=None | auth_enabled=False auth_method=None | DESERIALIZE: 0.00079 s | CRYPTO: 0.22554 s | AUTH: 0.00000 s | TOTAL: 0.22633 s | IMPACT: 99.65% | AUTH_IMPACT: 0.00%
Tempo totale round 3: 185.82 s
=== Report tempi round ===
Round 1: totale=192.09s | crypto=2.26s (1.18%) | auth=0.00s (0.00%) | crypto_cum=45.16s | auth_cum=0.00s | senza_critto=189.84s | parallel_factor=20 | parallel_fit=20 | parallel_eval=0
Round 2: totale=204.33s | crypto=2.24s (1.10%) | auth=0.00s (0.00%) | crypto_cum=44.89s | auth_cum=0.00s | senza_critto=202.08s | parallel_factor=20 | parallel_fit=20 | parallel_eval=0
Round 3: totale=185.82s | crypto=2.13s (1.14%) | auth=0.00s (0.00%) | crypto_cum=42.50s | auth_cum=0.00s | senza_critto=183.70s | parallel_factor=20 | parallel_fit=20 | parallel_eval=0
Totale critto (parallel): 6.63s su 582.24s (1.14%)
Totale auth (parallel): 0.00s su 582.24s (0.00%)
Totale critto cumulativo: 132.55s
Early stopping triggered at round 3, stopping server.
Run finished 1000 round(s) in 582.25s
Totale critto: 132.55 s su 582.25 s (22.77%) | auth: 0.00 s (0.00%) | serializzazione: 0.12 s
Overhead totale: 418560 B su 5113486560 B (0.01%)
