Encryption disabled
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=KOBLITZ_112 | DESERIALIZE: 0.00726 s | CRYPTO: 0.00000 s | AUTH: 0.87566 s | TOTAL: 0.88292 s | IMPACT: 0.00% | AUTH_IMPACT: 99.18%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=KOBLITZ_112 | SERIALIZE: 0.00076 s | CRYPTO: 0.00000 s | AUTH: 0.53150 s | TOTAL: 0.53226 s | IMPACT: 0.00% | AUTH_IMPACT: 99.86%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=KOBLITZ_112 | SERIALIZE: 0.00073 s | CRYPTO: 0.00000 s | AUTH: 0.48555 s | TOTAL: 0.48627 s | IMPACT: 0.00% | AUTH_IMPACT: 99.85%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=KOBLITZ_112 | SERIALIZE: 0.00072 s | CRYPTO: 0.00000 s | AUTH: 0.45263 s | TOTAL: 0.45335 s | IMPACT: 0.00% | AUTH_IMPACT: 99.84%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=KOBLITZ_112 | SERIALIZE: 0.00072 s | CRYPTO: 0.00000 s | AUTH: 0.46722 s | TOTAL: 0.46794 s | IMPACT: 0.00% | AUTH_IMPACT: 99.85%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=KOBLITZ_112 | DESERIALIZE: 0.00127 s | CRYPTO: 0.00000 s | AUTH: 0.42189 s | TOTAL: 0.42316 s | IMPACT: 0.00% | AUTH_IMPACT: 99.70%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=KOBLITZ_112 | SERIALIZE: 0.00068 s | CRYPTO: 0.00000 s | AUTH: 0.43991 s | TOTAL: 0.44059 s | IMPACT: 0.00% | AUTH_IMPACT: 99.84%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=KOBLITZ_112 | DESERIALIZE: 0.00098 s | CRYPTO: 0.00000 s | AUTH: 0.37266 s | TOTAL: 0.37364 s | IMPACT: 0.00% | AUTH_IMPACT: 99.74%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=KOBLITZ_112 | SERIALIZE: 0.00068 s | CRYPTO: 0.00000 s | AUTH: 0.46356 s | TOTAL: 0.46424 s | IMPACT: 0.00% | AUTH_IMPACT: 99.85%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=KOBLITZ_112 | DESERIALIZE: 0.00103 s | CRYPTO: 0.00000 s | AUTH: 0.38358 s | TOTAL: 0.38461 s | IMPACT: 0.00% | AUTH_IMPACT: 99.73%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=KOBLITZ_112 | DESERIALIZE: 0.00092 s | CRYPTO: 0.00000 s | AUTH: 0.37673 s | TOTAL: 0.37765 s | IMPACT: 0.00% | AUTH_IMPACT: 99.76%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=KOBLITZ_112 | DESERIALIZE: 0.00093 s | CRYPTO: 0.00000 s | AUTH: 0.36640 s | TOTAL: 0.36733 s | IMPACT: 0.00% | AUTH_IMPACT: 99.75%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=KOBLITZ_112 | DESERIALIZE: 0.00092 s | CRYPTO: 0.00000 s | AUTH: 0.35821 s | TOTAL: 0.35912 s | IMPACT: 0.00% | AUTH_IMPACT: 99.75%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=KOBLITZ_112 | SERIALIZE: 0.00066 s | CRYPTO: 0.00000 s | AUTH: 0.46192 s | TOTAL: 0.46259 s | IMPACT: 0.00% | AUTH_IMPACT: 99.86%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=KOBLITZ_112 | DESERIALIZE: 0.00089 s | CRYPTO: 0.00000 s | AUTH: 0.34787 s | TOTAL: 0.34876 s | IMPACT: 0.00% | AUTH_IMPACT: 99.74%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=KOBLITZ_112 | SERIALIZE: 0.00084 s | CRYPTO: 0.00000 s | AUTH: 0.57942 s | TOTAL: 0.58026 s | IMPACT: 0.00% | AUTH_IMPACT: 99.86%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=KOBLITZ_112 | SERIALIZE: 0.00080 s | CRYPTO: 0.00000 s | AUTH: 0.54054 s | TOTAL: 0.54134 s | IMPACT: 0.00% | AUTH_IMPACT: 99.85%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=KOBLITZ_112 | SERIALIZE: 0.00074 s | CRYPTO: 0.00000 s | AUTH: 0.51900 s | TOTAL: 0.51974 s | IMPACT: 0.00% | AUTH_IMPACT: 99.86%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=KOBLITZ_112 | DESERIALIZE: 0.00096 s | CRYPTO: 0.00000 s | AUTH: 0.38679 s | TOTAL: 0.38776 s | IMPACT: 0.00% | AUTH_IMPACT: 99.75%
