Encryption disabled
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=ECCFROG522PP | DESERIALIZE: 0.00320 s | CRYPTO: 0.00000 s | AUTH: 563.08268 s | TOTAL: 563.08587 s | IMPACT: 0.00% | AUTH_IMPACT: 100.00%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=ECCFROG522PP | DESERIALIZE: 0.00567 s | CRYPTO: 0.00000 s | AUTH: 827.85411 s | TOTAL: 827.85978 s | IMPACT: 0.00% | AUTH_IMPACT: 100.00%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=ECCFROG522PP | DESERIALIZE: 0.00415 s | CRYPTO: 0.00000 s | AUTH: 919.62690 s | TOTAL: 919.63105 s | IMPACT: 0.00% | AUTH_IMPACT: 100.00%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=ECCFROG522PP | DESERIALIZE: 0.00827 s | CRYPTO: 0.00000 s | AUTH: 935.20564 s | TOTAL: 935.21390 s | IMPACT: 0.00% | AUTH_IMPACT: 100.00%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=ECCFROG522PP | DESERIALIZE: 0.03504 s | CRYPTO: 0.00000 s | AUTH: 972.90009 s | TOTAL: 972.93513 s | IMPACT: 0.00% | AUTH_IMPACT: 100.00%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=ECCFROG522PP | DESERIALIZE: 0.06146 s | CRYPTO: 0.00000 s | AUTH: 986.93052 s | TOTAL: 986.99198 s | IMPACT: 0.00% | AUTH_IMPACT: 99.99%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=ECCFROG522PP | DESERIALIZE: 0.00594 s | CRYPTO: 0.00000 s | AUTH: 1025.51207 s | TOTAL: 1025.51801 s | IMPACT: 0.00% | AUTH_IMPACT: 100.00%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=ECCFROG522PP | DESERIALIZE: 0.06255 s | CRYPTO: 0.00000 s | AUTH: 1017.09573 s | TOTAL: 1017.15828 s | IMPACT: 0.00% | AUTH_IMPACT: 99.99%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=ECCFROG522PP | DESERIALIZE: 0.00618 s | CRYPTO: 0.00000 s | AUTH: 1020.23798 s | TOTAL: 1020.24416 s | IMPACT: 0.00% | AUTH_IMPACT: 100.00%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=ECCFROG522PP | DESERIALIZE: 0.00426 s | CRYPTO: 0.00000 s | AUTH: 1014.92991 s | TOTAL: 1014.93417 s | IMPACT: 0.00% | AUTH_IMPACT: 100.00%
