Encryption disabled
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=ED25519 | DESERIALIZE: 0.00158 s | CRYPTO: 0.00000 s | AUTH: 0.33781 s | TOTAL: 0.33940 s | IMPACT: 0.00% | AUTH_IMPACT: 99.53%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=ED25519 | SERIALIZE: 0.00068 s | CRYPTO: 0.00000 s | AUTH: 0.39849 s | TOTAL: 0.39917 s | IMPACT: 0.00% | AUTH_IMPACT: 99.83%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=ED25519 | SERIALIZE: 0.00066 s | CRYPTO: 0.00000 s | AUTH: 0.39784 s | TOTAL: 0.39851 s | IMPACT: 0.00% | AUTH_IMPACT: 99.83%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=ED25519 | SERIALIZE: 0.00070 s | CRYPTO: 0.00000 s | AUTH: 0.37931 s | TOTAL: 0.38001 s | IMPACT: 0.00% | AUTH_IMPACT: 99.81%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=ED25519 | DESERIALIZE: 0.00093 s | CRYPTO: 0.00000 s | AUTH: 0.21718 s | TOTAL: 0.21811 s | IMPACT: 0.00% | AUTH_IMPACT: 99.57%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=ED25519 | SERIALIZE: 0.00068 s | CRYPTO: 0.00000 s | AUTH: 0.41494 s | TOTAL: 0.41563 s | IMPACT: 0.00% | AUTH_IMPACT: 99.84%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=ED25519 | SERIALIZE: 0.00070 s | CRYPTO: 0.00000 s | AUTH: 0.39575 s | TOTAL: 0.39644 s | IMPACT: 0.00% | AUTH_IMPACT: 99.82%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=ED25519 | DESERIALIZE: 0.00094 s | CRYPTO: 0.00000 s | AUTH: 0.23194 s | TOTAL: 0.23287 s | IMPACT: 0.00% | AUTH_IMPACT: 99.60%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=ED25519 | SERIALIZE: 0.00067 s | CRYPTO: 0.00000 s | AUTH: 0.42898 s | TOTAL: 0.42965 s | IMPACT: 0.00% | AUTH_IMPACT: 99.84%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=ED25519 | DESERIALIZE: 0.00089 s | CRYPTO: 0.00000 s | AUTH: 0.21874 s | TOTAL: 0.21963 s | IMPACT: 0.00% | AUTH_IMPACT: 99.59%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=ED25519 | SERIALIZE: 0.00072 s | CRYPTO: 0.00000 s | AUTH: 0.38660 s | TOTAL: 0.38732 s | IMPACT: 0.00% | AUTH_IMPACT: 99.82%
