Encryption disabled
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=KOBLITZ_512 | SERIALIZE: 0.00077 s | CRYPTO: 0.00000 s | AUTH: 1.33667 s | TOTAL: 1.33744 s | IMPACT: 0.00% | AUTH_IMPACT: 99.94%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=KOBLITZ_512 | DESERIALIZE: 0.00107 s | CRYPTO: 0.00000 s | AUTH: 1.25604 s | TOTAL: 1.25711 s | IMPACT: 0.00% | AUTH_IMPACT: 99.92%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=KOBLITZ_512 | SERIALIZE: 0.00074 s | CRYPTO: 0.00000 s | AUTH: 1.24268 s | TOTAL: 1.24341 s | IMPACT: 0.00% | AUTH_IMPACT: 99.94%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=KOBLITZ_512 | SERIALIZE: 0.00081 s | CRYPTO: 0.00000 s | AUTH: 1.25702 s | TOTAL: 1.25784 s | IMPACT: 0.00% | AUTH_IMPACT: 99.94%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=KOBLITZ_512 | SERIALIZE: 0.00070 s | CRYPTO: 0.00000 s | AUTH: 1.19476 s | TOTAL: 1.19546 s | IMPACT: 0.00% | AUTH_IMPACT: 99.94%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=KOBLITZ_512 | DESERIALIZE: 0.00102 s | CRYPTO: 0.00000 s | AUTH: 1.24247 s | TOTAL: 1.24349 s | IMPACT: 0.00% | AUTH_IMPACT: 99.92%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=KOBLITZ_512 | DESERIALIZE: 0.00097 s | CRYPTO: 0.00000 s | AUTH: 1.19345 s | TOTAL: 1.19441 s | IMPACT: 0.00% | AUTH_IMPACT: 99.92%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=KOBLITZ_512 | DESERIALIZE: 0.00101 s | CRYPTO: 0.00000 s | AUTH: 1.17938 s | TOTAL: 1.18039 s | IMPACT: 0.00% | AUTH_IMPACT: 99.91%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=KOBLITZ_512 | DESERIALIZE: 0.00102 s | CRYPTO: 0.00000 s | AUTH: 1.19688 s | TOTAL: 1.19790 s | IMPACT: 0.00% | AUTH_IMPACT: 99.92%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=KOBLITZ_512 | DESERIALIZE: 0.00104 s | CRYPTO: 0.00000 s | AUTH: 1.19113 s | TOTAL: 1.19217 s | IMPACT: 0.00% | AUTH_IMPACT: 99.91%
