Encryption disabled
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=KOBLITZ_256 | DESERIALIZE: 0.00250 s | CRYPTO: 0.00000 s | AUTH: 0.49500 s | TOTAL: 0.49750 s | IMPACT: 0.00% | AUTH_IMPACT: 99.50%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=KOBLITZ_256 | SERIALIZE: 0.00072 s | CRYPTO: 0.00000 s | AUTH: 0.55182 s | TOTAL: 0.55254 s | IMPACT: 0.00% | AUTH_IMPACT: 99.87%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=KOBLITZ_256 | SERIALIZE: 0.00071 s | CRYPTO: 0.00000 s | AUTH: 0.54771 s | TOTAL: 0.54842 s | IMPACT: 0.00% | AUTH_IMPACT: 99.87%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=KOBLITZ_256 | SERIALIZE: 0.00079 s | CRYPTO: 0.00000 s | AUTH: 0.64092 s | TOTAL: 0.64171 s | IMPACT: 0.00% | AUTH_IMPACT: 99.88%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=KOBLITZ_256 | SERIALIZE: 0.00075 s | CRYPTO: 0.00000 s | AUTH: 0.54887 s | TOTAL: 0.54961 s | IMPACT: 0.00% | AUTH_IMPACT: 99.86%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=KOBLITZ_256 | DESERIALIZE: 0.00103 s | CRYPTO: 0.00000 s | AUTH: 0.39439 s | TOTAL: 0.39542 s | IMPACT: 0.00% | AUTH_IMPACT: 99.74%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=KOBLITZ_256 | SERIALIZE: 0.00070 s | CRYPTO: 0.00000 s | AUTH: 0.56536 s | TOTAL: 0.56606 s | IMPACT: 0.00% | AUTH_IMPACT: 99.88%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=KOBLITZ_256 | SERIALIZE: 0.00070 s | CRYPTO: 0.00000 s | AUTH: 0.60446 s | TOTAL: 0.60517 s | IMPACT: 0.00% | AUTH_IMPACT: 99.88%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=KOBLITZ_256 | SERIALIZE: 0.00073 s | CRYPTO: 0.00000 s | AUTH: 0.60545 s | TOTAL: 0.60617 s | IMPACT: 0.00% | AUTH_IMPACT: 99.88%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=KOBLITZ_256 | DESERIALIZE: 0.00111 s | CRYPTO: 0.00000 s | AUTH: 0.63038 s | TOTAL: 0.63149 s | IMPACT: 0.00% | AUTH_IMPACT: 99.82%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=KOBLITZ_256 | DESERIALIZE: 0.00132 s | CRYPTO: 0.00000 s | AUTH: 0.87307 s | TOTAL: 0.87439 s | IMPACT: 0.00% | AUTH_IMPACT: 99.85%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=KOBLITZ_256 | SERIALIZE: 0.00073 s | CRYPTO: 0.00000 s | AUTH: 0.54830 s | TOTAL: 0.54903 s | IMPACT: 0.00% | AUTH_IMPACT: 99.87%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=KOBLITZ_256 | SERIALIZE: 0.00069 s | CRYPTO: 0.00000 s | AUTH: 0.52834 s | TOTAL: 0.52903 s | IMPACT: 0.00% | AUTH_IMPACT: 99.87%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=KOBLITZ_256 | SERIALIZE: 0.00072 s | CRYPTO: 0.00000 s | AUTH: 0.52378 s | TOTAL: 0.52450 s | IMPACT: 0.00% | AUTH_IMPACT: 99.86%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=KOBLITZ_256 | DESERIALIZE: 0.00098 s | CRYPTO: 0.00000 s | AUTH: 0.37538 s | TOTAL: 0.37636 s | IMPACT: 0.00% | AUTH_IMPACT: 99.74%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=KOBLITZ_256 | SERIALIZE: 0.00081 s | CRYPTO: 0.00000 s | AUTH: 0.65100 s | TOTAL: 0.65180 s | IMPACT: 0.00% | AUTH_IMPACT: 99.88%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=KOBLITZ_256 | DESERIALIZE: 0.00109 s | CRYPTO: 0.00000 s | AUTH: 0.35948 s | TOTAL: 0.36058 s | IMPACT: 0.00% | AUTH_IMPACT: 99.70%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=KOBLITZ_256 | DESERIALIZE: 0.00105 s | CRYPTO: 0.00000 s | AUTH: 0.36795 s | TOTAL: 0.36900 s | IMPACT: 0.00% | AUTH_IMPACT: 99.72%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=KOBLITZ_256 | DESERIALIZE: 0.00097 s | CRYPTO: 0.00000 s | AUTH: 0.36516 s | TOTAL: 0.36614 s | IMPACT: 0.00% | AUTH_IMPACT: 99.73%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=KOBLITZ_256 | SERIALIZE: 0.00072 s | CRYPTO: 0.00000 s | AUTH: 0.60393 s | TOTAL: 0.60466 s | IMPACT: 0.00% | AUTH_IMPACT: 99.88%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=KOBLITZ_256 | SERIALIZE: 0.00075 s | CRYPTO: 0.00000 s | AUTH: 0.56194 s | TOTAL: 0.56269 s | IMPACT: 0.00% | AUTH_IMPACT: 99.87%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=KOBLITZ_256 | DESERIALIZE: 0.00102 s | CRYPTO: 0.00000 s | AUTH: 0.70948 s | TOTAL: 0.71050 s | IMPACT: 0.00% | AUTH_IMPACT: 99.86%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=KOBLITZ_256 | DESERIALIZE: 0.00101 s | CRYPTO: 0.00000 s | AUTH: 0.65312 s | TOTAL: 0.65413 s | IMPACT: 0.00% | AUTH_IMPACT: 99.85%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=KOBLITZ_256 | SERIALIZE: 0.00067 s | CRYPTO: 0.00000 s | AUTH: 0.51481 s | TOTAL: 0.51548 s | IMPACT: 0.00% | AUTH_IMPACT: 99.87%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=KOBLITZ_256 | DESERIALIZE: 0.00100 s | CRYPTO: 0.00000 s | AUTH: 0.36586 s | TOTAL: 0.36686 s | IMPACT: 0.00% | AUTH_IMPACT: 99.73%
