Encryption enabled: AES
CRYPTO STATUS: enabled=True method=AES | auth_enabled=False auth_method=None | DESERIALIZE: 0.00085 s | CRYPTO: 0.27961 s | AUTH: 0.00000 s | TOTAL: 0.28046 s | IMPACT: 99.70% | AUTH_IMPACT: 0.00%
CRYPTO STATUS: enabled=True method=AES | auth_enabled=False auth_method=None | SERIALIZE: 0.00041 s | CRYPTO: 0.21536 s | AUTH: 0.00000 s | TOTAL: 0.21578 s | IMPACT: 99.81% | AUTH_IMPACT: 0.00%
CRYPTO STATUS: enabled=True method=AES | auth_enabled=False auth_method=None | SERIALIZE: 0.00050 s | CRYPTO: 0.28800 s | AUTH: 0.00000 s | TOTAL: 0.28850 s | IMPACT: 99.83% | AUTH_IMPACT: 0.00%
CRYPTO STATUS: enabled=True method=AES | auth_enabled=False auth_method=None | SERIALIZE: 0.00041 s | CRYPTO: 0.22506 s | AUTH: 0.00000 s | TOTAL: 0.22547 s | IMPACT: 99.82% | AUTH_IMPACT: 0.00%
CRYPTO STATUS: enabled=True method=AES | auth_enabled=False auth_method=None | SERIALIZE: 0.00042 s | CRYPTO: 0.26189 s | AUTH: 0.00000 s | TOTAL: 0.26232 s | IMPACT: 99.84% | AUTH_IMPACT: 0.00%
CRYPTO STATUS: enabled=True method=AES | auth_enabled=False auth_method=None | SERIALIZE: 0.00041 s | CRYPTO: 0.25362 s | AUTH: 0.00000 s | TOTAL: 0.25403 s | IMPACT: 99.84% | AUTH_IMPACT: 0.00%
CRYPTO STATUS: enabled=True method=AES | auth_enabled=False auth_method=None | SERIALIZE: 0.00042 s | CRYPTO: 0.26030 s | AUTH: 0.00000 s | TOTAL: 0.26072 s | IMPACT: 99.84% | AUTH_IMPACT: 0.00%
CRYPTO STATUS: enabled=True method=AES | auth_enabled=False auth_method=None | SERIALIZE: 0.00040 s | CRYPTO: 0.23342 s | AUTH: 0.00000 s | TOTAL: 0.23383 s | IMPACT: 99.83% | AUTH_IMPACT: 0.00%
CRYPTO STATUS: enabled=True method=AES | auth_enabled=False auth_method=None | SERIALIZE: 0.00040 s | CRYPTO: 0.24326 s | AUTH: 0.00000 s | TOTAL: 0.24365 s | IMPACT: 99.84% | AUTH_IMPACT: 0.00%
CRYPTO STATUS: enabled=True method=AES | auth_enabled=False auth_method=None | SERIALIZE: 0.00044 s | CRYPTO: 0.29057 s | AUTH: 0.00000 s | TOTAL: 0.29101 s | IMPACT: 99.85% | AUTH_IMPACT: 0.00%
CRYPTO STATUS: enabled=True method=AES | auth_enabled=False auth_method=None | SERIALIZE: 0.00039 s | CRYPTO: 0.22168 s | AUTH: 0.00000 s | TOTAL: 0.22208 s | IMPACT: 99.82% | AUTH_IMPACT: 0.00%
CRYPTO STATUS: enabled=True method=AES | auth_enabled=False auth_method=None | SERIALIZE: 0.00047 s | CRYPTO: 0.27491 s | AUTH: 0.00000 s | TOTAL: 0.27538 s | IMPACT: 99.83% | AUTH_IMPACT: 0.00%
CRYPTO STATUS: enabled=True method=AES | auth_enabled=False auth_method=None | SERIALIZE: 0.00040 s | CRYPTO: 0.30428 s | AUTH: 0.00000 s | TOTAL: 0.30468 s | IMPACT: 99.87% | AUTH_IMPACT: 0.00%
CRYPTO STATUS: enabled=True method=AES | auth_enabled=False auth_method=None | SERIALIZE: 0.00040 s | CRYPTO: 0.25263 s | AUTH: 0.00000 s | TOTAL: 0.25303 s | IMPACT: 99.84% | AUTH_IMPACT: 0.00%
CRYPTO STATUS: enabled=True method=AES | auth_enabled=False auth_method=None | SERIALIZE: 0.00043 s | CRYPTO: 0.23834 s | AUTH: 0.00000 s | TOTAL: 0.23877 s | IMPACT: 99.82% | AUTH_IMPACT: 0.00%
CRYPTO STATUS: enabled=True method=AES | auth_enabled=False auth_method=None | SERIALIZE: 0.00038 s | CRYPTO: 0.22050 s | AUTH: 0.00000 s | TOTAL: 0.22088 s | IMPACT: 99.83% | AUTH_IMPACT: 0.00%
CRYPTO STATUS: enabled=True method=AES | auth_enabled=False auth_method=None | DESERIALIZE: 0.00048 s | CRYPTO: 0.32258 s | AUTH: 0.00000 s | TOTAL: 0.32305 s | IMPACT: 99.85% | AUTH_IMPACT: 0.00%
CRYPTO STATUS: enabled=True method=AES | auth_enabled=False auth_method=None | DESERIALIZE: 0.00049 s | CRYPTO: 0.30418 s | AUTH: 0.00000 s | TOTAL: 0.30467 s | IMPACT: 99.84% | AUTH_IMPACT: 0.00%
CRYPTO STATUS: enabled=True method=AES | auth_enabled=False auth_method=None | DESERIALIZE: 0.00052 s | CRYPTO: 0.28932 s | AUTH: 0.00000 s | TOTAL: 0.28984 s | IMPACT: 99.82% | AUTH_IMPACT: 0.00%
CRYPTO STATUS: enabled=True method=AES | auth_enabled=False auth_method=None | DESERIALIZE: 0.00047 s | CRYPTO: 0.19384 s | AUTH: 0.00000 s | TOTAL: 0.19431 s | IMPACT: 99.76% | AUTH_IMPACT: 0.00%
CRYPTO STATUS: enabled=True method=AES | auth_enabled=False auth_method=None | DESERIALIZE: 0.00052 s | CRYPTO: 0.28509 s | AUTH: 0.00000 s | TOTAL: 0.28561 s | IMPACT: 99.82% | AUTH_IMPACT: 0.00%
CRYPTO STATUS: enabled=True method=AES | auth_enabled=False auth_method=None | DESERIALIZE: 0.00096 s | CRYPTO: 0.30883 s | AUTH: 0.00000 s | TOTAL: 0.30979 s | IMPACT: 99.69% | AUTH_IMPACT: 0.00%
CRYPTO STATUS: enabled=True method=AES | auth_enabled=False auth_method=None | DESERIALIZE: 0.00048 s | CRYPTO: 0.19964 s | AUTH: 0.00000 s | TOTAL: 0.20012 s | IMPACT: 99.76% | AUTH_IMPACT: 0.00%
CRYPTO STATUS: enabled=True method=AES | auth_enabled=False auth_method=None | DESERIALIZE: 0.00048 s | CRYPTO: 0.16891 s | AUTH: 0.00000 s | TOTAL: 0.16939 s | IMPACT: 99.72% | AUTH_IMPACT: 0.00%
Tempo totale round 4: 69.28 s
=== Report tempi round ===
Round 1: totale=76.41s | crypto=3.50s (4.58%) | auth=0.00s (0.00%) | crypto_cum=52.52s | auth_cum=0.00s | senza_critto=72.90s | parallel_factor=15 | parallel_fit=15 | parallel_eval=0
Round 2: totale=67.23s | crypto=3.07s (4.56%) | auth=0.00s (0.00%) | crypto_cum=45.98s | auth_cum=0.00s | senza_critto=64.17s | parallel_factor=15 | parallel_fit=15 | parallel_eval=0
Round 3: totale=64.99s | crypto=2.76s (4.25%) | auth=0.00s (0.00%) | crypto_cum=41.41s | auth_cum=0.00s | senza_critto=62.23s | parallel_factor=15 | parallel_fit=15 | parallel_eval=0
Round 4: totale=69.28s | crypto=2.83s (4.08%) | auth=0.00s (0.00%) | crypto_cum=42.40s | auth_cum=0.00s | senza_critto=66.46s | parallel_factor=15 | parallel_fit=15 | parallel_eval=0
Totale critto (parallel): 12.15s su 277.91s (4.37%)
Totale auth (parallel): 0.00s su 277.91s (0.00%)
Totale critto cumulativo: 182.31s
Early stopping triggered at round 4, stopping server.
Run finished 1000 round(s) in 277.91s
Totale critto: 182.31 s su 277.91 s (65.60%) | auth: 0.00 s (0.00%) | serializzazione: 0.06 s
Overhead totale: 458400 B su 5373913440 B (0.01%)
Overhead AES: 224160 B (0.00%) | medio=30.62 B/msg
Overhead HMAC: 234240 B (0.00%) | medio=32.00 B/msg
Overhead medio crypto: 30.55 B/msg
Overhead medio integrity: 32.00 B/msg
	History (loss, centralized):

		round 1: 2.253545580673218

		round 2: 1.2004005992889404

		round 3: 0.9925763050079346

		round 4: 0.8675927673339844

	History (metrics, centralized):

	{'accuracy': [(1, 0.2036), (2, 0.6163), (3, 0.6573), (4, 0.7072)],

	 'round_time': [(1, 76.40507675427943),

	                (2, 67.23207359015942),

	                (3, 64.98748556151986),

	                (4, 69.28259840235114)]}


